Purchase_Order_Number,CapChem_Vendor_ID,CapChem_Vendor_Name,CapChem_Raw_Material_ID,CapChem_Raw_Material_Name,CapChem_Raw_Material_Category,Quantity,Unit_Price_Of_RM,Total_Amount,Purchase_Order_Date
PO202206077,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.26,70960,89410,08/04/22
PO202208356,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,12.39,191798,2376378,08/04/22
PO202202301,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,36.51,1442286,52657862,08/04/22
PO202200798,V005,Volga Chemicals,RM0002,Urea,Nitrogen,8.73,1373583,11991380,08/04/22
PO202207045,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.65,208217,551776,08/04/22
PO202207619,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,7.11,181195,1288297,08/04/22
PO202206080,V010,ChemTech Corp,RM0011,Boron,Micronutrient,0.63,70960,44705,08/04/22
PO202202279,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,31.49,1386813,43670742,08/04/22
PO202201573,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,0.51,1271627,648530,08/04/22
PO202200012,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,21.22,1120640,23779981,08/04/22
PO202200017,V006,Navin Corp,RM0001,Ammonia,Nitrogen,22.28,1232704,27464646,08/04/22
PO202208349,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,5.01,215773,1081023,09/04/22
PO202203095,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,3.34,2388775,7978509,09/04/22
PO202208358,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,8.15,191798,1563154,09/04/22
PO202202302,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,8.17,1497758,12236683,09/04/22
PO202207621,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,3.84,286097,1098613,09/04/22
PO202200011,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,23.1,1176672,27181124,09/04/22
PO202200786,V001,Jubair Corp,RM0002,Urea,Nitrogen,15.98,1373583,21949857,09/04/22
PO202208360,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,1.38,191798,264682,10/04/22
PO202204524,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.94,210508,197878,10/04/22
PO202204777,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,4.1,9995,40980,10/04/22
PO202208350,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,12.09,215773,2608696,10/04/22
PO202203810,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,7.24,1465677,10611502,10/04/22
PO202203099,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,5.13,2388775,12254416,10/04/22
PO202200008,V009,Hyderabad Chemicals,RM0001,Ammonia,Nitrogen,6.69,1176672,7871936,10/04/22
PO202200796,V001,Jubair Corp,RM0002,Urea,Nitrogen,1.33,1373583,1826866,10/04/22
PO202202283,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,14.37,1442286,20725650,10/04/22
PO202206542,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.42,27538,39104,10/04/22
PO202200002,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,29.33,1120640,32868372,10/04/22
PO202205680,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.03,99704,102696,10/04/22
PO202201562,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,1.82,1271627,2314362,10/04/22
PO202201559,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,9.05,1224529,11081988,10/04/22
PO202203804,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,10.89,1814648,19761517,11/04/22
PO202203805,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,5.02,1465677,7357699,11/04/22
PO202207050,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.59,208217,331066,11/04/22
PO202203094,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,7.01,2388775,16745313,11/04/22
PO202204780,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.64,6664,17593,11/04/22
PO202207057,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,0.92,208217,191560,11/04/22
PO202200800,V005,Volga Chemicals,RM0002,Urea,Nitrogen,12.44,1373583,17087373,11/04/22
PO202206544,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.42,27538,39104,11/04/22
PO202201566,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,3.32,989043,3283623,12/04/22
PO202201569,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,9.15,1271627,11635388,12/04/22
PO202205409,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.75,10994,8246,12/04/22
PO202206074,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.12,70960,79476,12/04/22
PO202201563,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,8.07,989043,7981578,12/04/22
PO202200004,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,3.8,1120640,4258432,12/04/22
PO202208344,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,4.59,215773,990399,12/04/22
PO202208353,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,10.58,215773,2282879,12/04/22
PO202207624,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,5.91,286097,1690834,13/04/22
PO202207618,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.39,286097,1828160,13/04/22
PO202207616,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,8.92,286097,2551986,13/04/22
PO202206076,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.36,70960,96506,13/04/22
PO202204781,V013,Beijing Corp,RM0008,Iron,Micronutrient,4.36,6664,29056,13/04/22
PO202204527,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.91,210508,191563,13/04/22
PO202205407,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.69,10994,7586,13/04/22
PO202202289,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,47.53,1109451,52732207,13/04/22
PO202202296,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,14.85,1386813,20594174,13/04/22
PO202203803,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,9.1,1465677,13337661,13/04/22
PO202202298,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,1.24,1109451,1375720,13/04/22
PO202206535,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.43,27538,39380,13/04/22
PO202204528,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.99,210508,208403,13/04/22
PO202205690,V012,Bayer Corp,RM0010,Manganese,Micronutrient,0.88,99704,87740,14/04/22
PO202203808,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,11.06,1814648,20070007,14/04/22
PO202202290,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,16.5,1442286,23797719,14/04/22
PO202205683,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.17,99704,116654,14/04/22
PO202201570,V005,Volga Chemicals,RM0003,Potassium Chloride,Potassium,7.99,1224529,9783987,15/04/22
PO202207613,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.42,286097,406258,15/04/22
PO202207054,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.62,208217,337312,15/04/22
PO202203811,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,11.31,1814648,20523669,15/04/22
PO202203098,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.13,2388775,2699316,15/04/22
PO202206543,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.46,27538,40206,15/04/22
PO202200010,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,20.57,1120640,23051565,15/04/22
PO202206068,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.13,70960,80185,16/04/22
PO202206072,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.03,70960,73089,16/04/22
PO202207056,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,0.28,208217,58301,16/04/22
PO202207625,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.39,286097,397675,16/04/22
PO202207629,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,6.22,286097,1779524,16/04/22
PO202208352,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,8.56,215773,1847017,16/04/22
PO202203813,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,5.29,1814648,9599488,16/04/22
PO202204773,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,3.2,9995,31984,16/04/22
PO202204525,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.75,210508,157881,16/04/22
PO202201558,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,2.23,989043,2205566,16/04/22
PO202202286,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,14.63,1386813,20289075,16/04/22
PO202204774,V013,Beijing Corp,RM0008,Iron,Micronutrient,3.13,6664,20859,16/04/22
PO202207038,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.56,208217,324819,17/04/22
PO202202284,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,44.78,1386813,62101487,17/04/22
PO202204778,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,4.46,9995,44578,17/04/22
PO202207632,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,0.77,286097,220295,17/04/22
PO202201565,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,2.67,1271627,3395245,17/04/22
PO202201572,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,7.32,1271627,9308310,17/04/22
PO202201560,V004,Ural Enterprises,RM0003,Potassium Chloride,Potassium,7.88,1271627,10020421,18/04/22
PO202200021,V002,Mecca Enterprises,RM0001,Ammonia,Nitrogen,0.75,1400800,1050600,18/04/22
PO202200789,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,10.33,1056602,10914699,18/04/22
PO202200014,V006,Navin Corp,RM0001,Ammonia,Nitrogen,24.13,1232704,29745148,18/04/22
PO202203102,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,7.39,2388775,17653048,18/04/22
PO202206539,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.01,27538,27814,18/04/22
PO202206537,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,2,27538,55076,18/04/22
PO202200793,V005,Volga Chemicals,RM0002,Urea,Nitrogen,2.97,1373583,4079542,18/04/22
PO202200784,V005,Volga Chemicals,RM0002,Urea,Nitrogen,14.01,1373583,19243898,18/04/22
PO202200013,V001,Jubair Corp,RM0001,Ammonia,Nitrogen,8.95,1456832,13038647,19/04/22
PO202207627,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,1.28,286097,366205,19/04/22
PO202203100,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,2.47,2388775,5900275,19/04/22
PO202203103,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,7.28,2388775,17390282,19/04/22
PO202200790,V005,Volga Chemicals,RM0002,Urea,Nitrogen,1.75,1373583,2403771,19/04/22
PO202208343,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,4.6,191798,882271,19/04/22
PO202205686,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.04,99704,103693,19/04/22
PO202205410,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.6,10994,6597,19/04/22
PO202204784,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,1.04,9995,10395,19/04/22
PO202204771,V013,Beijing Corp,RM0008,Iron,Micronutrient,5.45,6664,36319,19/04/22
PO202206079,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.25,70960,88700,19/04/22
PO202202295,V004,Ural Enterprises,RM0004,Ammonium Nitrate,Nitrogen,34.87,1497758,52226822,20/04/22
PO202208355,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,11.36,191798,2178826,20/04/22
PO202203806,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,2.3,1465677,3371058,20/04/22
PO202208351,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,8.43,191798,1616858,20/04/22
PO202207052,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.12,208217,233204,20/04/22
PO202207043,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.9,208217,395613,20/04/22
PO202205687,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.19,99704,118648,21/04/22
PO202202281,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,7.57,1109451,8398545,21/04/22
PO202206078,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.06,70960,75218,21/04/22
PO202205681,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.18,99704,117651,21/04/22
PO202200791,V006,Navin Corp,RM0002,Urea,Nitrogen,17.2,1162262,19990907,21/04/22
PO202200803,V006,Navin Corp,RM0002,Urea,Nitrogen,0.78,1162262,906565,21/04/22
PO202203812,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,5.23,1465677,7665491,21/04/22
PO202203106,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,4.55,2388775,10868927,22/04/22
PO202200003,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,15.99,1120640,17919034,22/04/22
PO202200792,V006,Navin Corp,RM0002,Urea,Nitrogen,12.26,1162262,14249333,22/04/22
PO202203807,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,3.56,1814648,6460147,22/04/22
PO202202280,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,2.95,1109451,3272881,22/04/22
PO202204776,V013,Beijing Corp,RM0008,Iron,Micronutrient,4.2,6664,27989,22/04/22
PO202207055,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.28,208217,266518,22/04/22
PO202206534,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.79,27538,49294,22/04/22
PO202204768,V011,Berlin Enterprises,RM0008,Iron,Micronutrient,5.72,9995,57172,22/04/22
PO202200015,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,29.55,1120640,33114912,23/04/22
PO202203092,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.33,2388775,3177071,23/04/22
PO202200802,V005,Volga Chemicals,RM0002,Urea,Nitrogen,8.44,1373583,11593041,23/04/22
PO202200009,V006,Navin Corp,RM0001,Ammonia,Nitrogen,12.6,1232704,15532071,23/04/22
PO202203101,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,1.72,2388775,4108693,24/04/22
PO202207040,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.73,208217,360216,24/04/22
PO202205682,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.14,99704,113663,24/04/22
PO202208348,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,6.99,191798,1340669,24/04/22
PO202208342,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,8.64,215773,1864279,24/04/22
PO202205412,V013,Beijing Corp,RM0009,Zinc,Micronutrient,0.59,7329,4325,24/04/22
PO202207049,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.92,208217,399777,24/04/22
PO202200006,V003,Prakash Chemicals,RM0001,Ammonia,Nitrogen,2.79,1120640,3126586,24/04/22
PO202202294,V001,Jubair Corp,RM0004,Ammonium Nitrate,Nitrogen,9.34,1442286,13470952,24/04/22
PO202205689,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.06,99704,105687,24/04/22
PO202200020,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,2.02,1120640,2263693,24/04/22
PO202204523,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.73,210508,153671,25/04/22
PO202206531,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.06,27538,29191,25/04/22
PO202202297,V002,Mecca Enterprises,RM0004,Ammonium Nitrate,Nitrogen,26.36,1386813,36556391,25/04/22
PO202200794,V008,Deepak Enterprises,RM0002,Urea,Nitrogen,6.77,1056602,7153196,25/04/22
PO202206069,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.13,70960,80185,25/04/22
PO202200799,V005,Volga Chemicals,RM0002,Urea,Nitrogen,11.51,1373583,15809941,25/04/22
PO202207053,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.01,208217,210300,25/04/22
PO202202288,V008,Deepak Enterprises,RM0004,Ammonium Nitrate,Nitrogen,40.08,1109451,44466797,25/04/22
PO202207046,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.28,208217,474735,25/04/22
PO202203799,V009,Hyderabad Chemicals,RM0006,Potassium Nitrate,Potassium,4.41,1465677,6463636,25/04/22
PO202205406,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.74,10994,8136,25/04/22
PO202207615,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,9.95,181195,1802891,25/04/22
PO202200001,V008,Deepak Enterprises,RM0001,Ammonia,Nitrogen,2.66,1120640,2980903,25/04/22
PO202200007,V001,Jubair Corp,RM0001,Ammonia,Nitrogen,26.01,1456832,37892201,25/04/22
PO202208362,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,0.88,215773,189881,25/04/22
PO202207048,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.16,208217,241532,26/04/22
PO202204782,V013,Beijing Corp,RM0008,Iron,Micronutrient,4.56,6664,30388,26/04/22
PO202204526,V010,ChemTech Corp,RM0007,Chlorine,Micronutrient,0.81,210508,170512,26/04/22
PO202207626,V015,Wuhan Enterprises,RM0014,Phosphoric Acid,Phosphurus,4.96,181195,898728,26/04/22
PO202203093,V007,Nova Industries,RM0005,Potassium Sulphate,Potassium,6.58,2388775,15718140,26/04/22
PO202207630,V016,Summit Enterprises,RM0014,Phosphoric Acid,Phosphurus,5.95,286097,1702278,26/04/22
PO202205413,V011,Berlin Enterprises,RM0009,Zinc,Micronutrient,0.3,10994,3299,26/04/22
PO202207041,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,2.75,208217,572597,26/04/22
PO202206070,V010,ChemTech Corp,RM0011,Boron,Micronutrient,1.21,70960,85862,26/04/22
PO202208359,V017,Casablanca Industries,RM0015,Phosphate Rock,Phosphurus,3.63,191798,696227,26/04/22
PO202204769,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.54,6664,16927,26/04/22
PO202203814,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,0.31,1814648,562541,26/04/22
PO202201561,V009,Hyderabad Chemicals,RM0003,Potassium Chloride,Potassium,8.08,989043,7991468,27/04/22
PO202206533,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.14,27538,31394,27/04/22
PO202206536,V013,Beijing Corp,RM0012,Molybdenum,Micronutrient,1.79,27538,49294,27/04/22
PO202200788,V005,Volga Chemicals,RM0002,Urea,Nitrogen,18.13,1373583,24903060,27/04/22
PO202203801,V005,Volga Chemicals,RM0006,Potassium Nitrate,Potassium,4.98,1814648,9036948,27/04/22
PO202204775,V013,Beijing Corp,RM0008,Iron,Micronutrient,2.84,6664,18926,27/04/22
PO202208345,V018,Zarqa Specialty Chemicals,RM0015,Phosphate Rock,Phosphurus,12.12,215773,2615169,27/04/22
PO202207051,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.37,208217,285258,27/04/22
PO202207042,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.68,208217,349805,27/04/22
PO202207047,V014,Greenfield Chemicals Ltd.,RM0013,Copper,Micronutrient,1.44,208217,299833,27/04/22
PO202205685,V012,Bayer Corp,RM0010,Manganese,Micronutrient,1.1,99704,109675,28/04/22
